# DigitalBank France - Authentication Logs
# Period: 2025-12-01 to 2025-12-08
# Format: timestamp | ip_address | user_id | action | status
# ---------------------------------------------------------

2025-12-01 08:15:23 | 192.168.1.100 | jean.dupont@email.fr | LOGIN | SUCCESS
2025-12-01 08:20:45 | 192.168.1.101 | marie.martin@email.fr | LOGIN | SUCCESS
2025-12-01 09:05:12 | 192.168.1.102 | pierre.bernard@email.fr | LOGIN | SUCCESS
2025-12-01 09:30:00 | 45.123.45.67 | admin@digitalbank.fr | LOGIN | FAILED_INVALID_EMAIL
2025-12-01 09:30:15 | 45.123.45.67 | admin@digitalbank.fr | LOGIN | FAILED_INVALID_EMAIL
2025-12-01 09:30:30 | 45.123.45.67 | root@digitalbank.fr | LOGIN | FAILED_INVALID_EMAIL
2025-12-01 09:30:45 | 45.123.45.67 | superadmin@digitalbank.fr | LOGIN | FAILED_INVALID_EMAIL
2025-12-01 10:15:30 | 192.168.1.103 | sophie.petit@email.fr | LOGIN | SUCCESS
2025-12-01 11:20:00 | 89.234.56.78 | jean.dupont@email.fr | LOGIN | FAILED_INVALID_PASSWORD
2025-12-01 11:20:15 | 89.234.56.78 | jean.dupont@email.fr | LOGIN | FAILED_INVALID_PASSWORD
2025-12-01 11:20:30 | 89.234.56.78 | jean.dupont@email.fr | LOGIN | FAILED_INVALID_PASSWORD
2025-12-01 11:20:45 | 89.234.56.78 | jean.dupont@email.fr | LOGIN | FAILED_INVALID_PASSWORD
2025-12-01 11:21:00 | 89.234.56.78 | jean.dupont@email.fr | LOGIN | FAILED_INVALID_PASSWORD
2025-12-01 11:21:15 | 89.234.56.78 | jean.dupont@email.fr | LOGIN | FAILED_ACCOUNT_LOCKED
2025-12-01 14:30:00 | 192.168.1.104 | luc.durand@email.fr | LOGIN | SUCCESS
2025-12-01 15:45:22 | 192.168.1.105 | claire.moreau@email.fr | LOGIN | SUCCESS

2025-12-02 07:00:00 | 101.202.45.88 | admin@digitalbank.fr | LOGIN | FAILED_INVALID_EMAIL
2025-12-02 07:00:10 | 101.202.45.88 | administrator@digitalbank.fr | LOGIN | FAILED_INVALID_EMAIL
2025-12-02 07:00:20 | 101.202.45.88 | sysadmin@digitalbank.fr | LOGIN | FAILED_INVALID_EMAIL
2025-12-02 08:10:00 | 192.168.1.100 | jean.dupont@email.fr | LOGIN | SUCCESS
2025-12-02 08:25:30 | 192.168.1.101 | marie.martin@email.fr | LOGIN | SUCCESS
2025-12-02 09:15:00 | 192.168.1.106 | thomas.simon@email.fr | LOGIN | SUCCESS
2025-12-02 10:30:00 | 192.168.1.107 | emma.laurent@email.fr | LOGIN | SUCCESS
2025-12-02 11:45:00 | 45.123.45.67 | user123@email.fr | LOGIN | FAILED_INVALID_EMAIL
2025-12-02 11:45:15 | 45.123.45.67 | user456@email.fr | LOGIN | FAILED_INVALID_EMAIL
2025-12-02 11:45:30 | 45.123.45.67 | user789@email.fr | LOGIN | FAILED_INVALID_EMAIL
